['Qh', '6s', '2d', '8h', '3h', 'Kc']
['Qh', '6s', '2d', '8h', '3h', 'Kc']
['Qh', '6s', '2d', '8h', '3h', 'Kc']
['Qh', '6s', '2d', '8h', '3h', 'Kc']
['Qh', '6s', '2d', '8h', '3h', 'Kc']
['Tc', 'Ah', '8h', '6d', '4d', '2c']
['Tc', 'Ah', '8h', '6d', '4d', '2c']
['Tc', 'Ah', '8h', '6d', '4d', '2c']
['Tc', 'Ah', '8h', '6d', '4d', '2c']
['Tc', 'Ah', '8h', '6d', '4d', '2c']
['4s', '4c', 'Jd', '9h', '8d', 'Kh']
['4s', '4c', 'Jd', '9h', '8d', 'Kh']
['4s', '4c', 'Jd', '9h', '8d', 'Kh']
['4s', '4c', 'Jd', '9h', '8d', 'Kh']
['4s', '4c', 'Jd', '9h', '8d', 'Kh']
['Jh', 'Tc', '9d', 'Ac', '5c', '8d']
['Jh', 'Tc', '9d', 'Ac', '5c', '8d']
['Jh', 'Tc', '9d', 'Ac', '5c', '8d']
['Jh', 'Tc', '9d', 'Ac', '5c', '8d']
['Jh', 'Tc', '9d', 'Ac', '5c', '8d']
['Ah', '5s', 'Jc', '9h', '2d', '4h']
['Ah', '5s', 'Jc', '9h', '2d', '4h']
['Ah', '5s', 'Jc', '9h', '2d', '4h']
['Ah', '5s', 'Jc', '9h', '2d', '4h']
['Ah', '5s', 'Jc', '9h', '2d', '4h']
['Td', '4d', 'As', '6c', '7c', 'Qs']
['Td', '4d', 'As', '6c', '7c', 'Qs']
['Td', '4d', 'As', '6c', '7c', 'Qs']
['Td', '4d', 'As', '6c', '7c', 'Qs']
['Td', '4d', 'As', '6c', '7c', 'Qs']
['5d', 'Jc', 'Kd', '8c', '4d', 'Td']
['5d', 'Jc', 'Kd', '8c', '4d', 'Td']
['5d', 'Jc', 'Kd', '8c', '4d', 'Td']
['5d', 'Jc', 'Kd', '8c', '4d', 'Td']
['5d', 'Jc', 'Kd', '8c', '4d', 'Td']
['8s', '4s', '7s', '4c', '7h', '8h']
['8s', '4s', '7s', '4c', '7h', '8h']
['8s', '4s', '7s', '4c', '7h', '8h']
['8s', '4s', '7s', '4c', '7h', '8h']
['8s', '4s', '7s', '4c', '7h', '8h']
['8s', '7c', '5c', '7h', '3s', '6d']
['8s', '7c', '5c', '7h', '3s', '6d']
['8s', '7c', '5c', '7h', '3s', '6d']
['8s', '7c', '5c', '7h', '3s', '6d']
['8s', '7c', '5c', '7h', '3s', '6d']
['Th', '5s', '7s', '3h', 'Qc', 'Js']
['Th', '5s', '7s', '3h', 'Qc', 'Js']
['Th', '5s', '7s', '3h', 'Qc', 'Js']
['Th', '5s', '7s', '3h', 'Qc', 'Js']
['Th', '5s', '7s', '3h', 'Qc', 'Js']
['Kc', '3h', '7c', '6s', '8c', '3d']
['Kc', '3h', '7c', '6s', '8c', '3d']
['Kc', '3h', '7c', '6s', '8c', '3d']
['Kc', '3h', '7c', '6s', '8c', '3d']
['Kc', '3h', '7c', '6s', '8c', '3d']
['6s', '2d', 'Qh', 'Qd', '3d', 'Ks']
['6s', '2d', 'Qh', 'Qd', '3d', 'Ks']
['6s', '2d', 'Qh', 'Qd', '3d', 'Ks']
['6s', '2d', 'Qh', 'Qd', '3d', 'Ks']
['6s', '2d', 'Qh', 'Qd', '3d', 'Ks']
['2d', '7h', '9h', 'Kh', '6c', '4s']
['2d', '7h', '9h', 'Kh', '6c', '4s']
['2d', '7h', '9h', 'Kh', '6c', '4s']
['2d', '7h', '9h', 'Kh', '6c', '4s']
['2d', '7h', '9h', 'Kh', '6c', '4s']
['9d', '3d', '2d', '5c', '8d', '9h']
['9d', '3d', '2d', '5c', '8d', '9h']
['9d', '3d', '2d', '5c', '8d', '9h']
['9d', '3d', '2d', '5c', '8d', '9h']
['9d', '3d', '2d', '5c', '8d', '9h']
['Ts', '2s', '3s', 'Ks', 'Kh', '2c']
['Ts', '2s', '3s', 'Ks', 'Kh', '2c']
['Ts', '2s', '3s', 'Ks', 'Kh', '2c']
['Ts', '2s', '3s', 'Ks', 'Kh', '2c']
['Ts', '2s', '3s', 'Ks', 'Kh', '2c']
['6h', '3c', '9h', '9s', 'Qc', 'Kc']
['6h', '3c', '9h', '9s', 'Qc', 'Kc']
['6h', '3c', '9h', '9s', 'Qc', 'Kc']
['6h', '3c', '9h', '9s', 'Qc', 'Kc']
['6h', '3c', '9h', '9s', 'Qc', 'Kc']
['Ac', '3s', 'Qh', '4s', 'Kc', '8d']
['Ac', '3s', 'Qh', '4s', 'Kc', '8d']
['Ac', '3s', 'Qh', '4s', 'Kc', '8d']
['Ac', '3s', 'Qh', '4s', 'Kc', '8d']
['Ac', '3s', 'Qh', '4s', 'Kc', '8d']
['Qd', '2h', '4d', '6c', 'Td', 'Ad']
['Qd', '2h', '4d', '6c', 'Td', 'Ad']
['Qd', '2h', '4d', '6c', 'Td', 'Ad']
['Qd', '2h', '4d', '6c', 'Td', 'Ad']
['Qd', '2h', '4d', '6c', 'Td', 'Ad']
['As', '4h', '7h', '7d', 'Jh', 'Jd']
['As', '4h', '7h', '7d', 'Jh', 'Jd']
['As', '4h', '7h', '7d', 'Jh', 'Jd']
['As', '4h', '7h', '7d', 'Jh', 'Jd']
['As', '4h', '7h', '7d', 'Jh', 'Jd']
['Td', '8c', 'Jh', 'As', '4h', '9d']
['Td', '8c', 'Jh', 'As', '4h', '9d']
['Td', '8c', 'Jh', 'As', '4h', '9d']
['Td', '8c', 'Jh', 'As', '4h', '9d']
['Td', '8c', 'Jh', 'As', '4h', '9d']
['7c', 'As', '3s', '4c', 'Kh', 'Ad']
['7c', 'As', '3s', '4c', 'Kh', 'Ad']
['7c', 'As', '3s', '4c', 'Kh', 'Ad']
['7c', 'As', '3s', '4c', 'Kh', 'Ad']
['7c', 'As', '3s', '4c', 'Kh', 'Ad']
['5d', 'Jh', '6s', 'Ts', 'Qd', '6c']
['5d', 'Jh', '6s', 'Ts', 'Qd', '6c']
['5d', 'Jh', '6s', 'Ts', 'Qd', '6c']
['5d', 'Jh', '6s', 'Ts', 'Qd', '6c']
['5d', 'Jh', '6s', 'Ts', 'Qd', '6c']
['6s', 'Ks', 'Td', '8d', '3d', 'Qc']
['6s', 'Ks', 'Td', '8d', '3d', 'Qc']
['6s', 'Ks', 'Td', '8d', '3d', 'Qc']
['6s', 'Ks', 'Td', '8d', '3d', 'Qc']
['6s', 'Ks', 'Td', '8d', '3d', 'Qc']
['8d', '6c', 'Ac', '3d', '5c', 'Ah']
['8d', '6c', 'Ac', '3d', '5c', 'Ah']
['8d', '6c', 'Ac', '3d', '5c', 'Ah']
['8d', '6c', 'Ac', '3d', '5c', 'Ah']
['8d', '6c', 'Ac', '3d', '5c', 'Ah']
['9s', 'Ah', '3h', 'Td', '7c', 'Js']
['9s', 'Ah', '3h', 'Td', '7c', 'Js']
['9s', 'Ah', '3h', 'Td', '7c', 'Js']
